anomaly,geologic_designation,source_lon,source_lat,pole_lon,pole_lat,dipole_moment
T1,C,106,-27.5,284,45,-1.50E+15
T2,H,102,-30,222,4,-7.10E+15
T3,N,100,-27,76,2,8.70E+15
T4,H,99.5,-20,192,71,-7.80E+15
T5,N,93.5,-19,155,62,-1.20E+16
T6,N,95.5,-11,1,56,-6.40E+15
T7,N,90,-10,309,59,-7.20E+15
T8,N,104.75,-10,190,24,6.40E+15
T9,H,110.5,-14.5,94,73,1.20E+16
T10,H,112,-18.5,22,67,-5.00E+15
T11,N,115,-15,65,47,1.00E+16
T12,N,118,-17.5,59,53,-5.50E+15
T13,N,119.5,-12.75,76,45,6.70E+15
S1,H,74,8.5,32,49,2.80E+15
S2,H,74.5,5.5,204,87,-3.20E+15
S3,N,70,-7.5,295,52,4.30E+15
S4,N,65.5,-7,211,75,1.40E+16
S5,N,58.5,-6,303,40,4.20E+15
S6,N,53,-5.5,293,44,1.00E+16
S7,N,43,-3,122,28,-6.90E+15
S8,N,49,-3,283,3,1.20E+16
S9,C,53,3,247,84,-9.00E+15
S10,N,59,9,301,20,-2.30E+15
S11,H,62.5,17,356,59,-2.80E+15
S12,N,57.25,19,239,64,-5.40E+15
S13,C,65,22.5,137,10,2.00E+15
S14,N,52.25,20,265,44,-1.60E+15
S15,N,52.5,23,332,19,6.70E+14
S16,N,56,24,302,37,-8.50E+15